date,USDVND
2019-11-18,22802.74609375
2019-11-19,23207.0
2019-11-20,23207.0
2019-11-21,23207.0
2019-11-22,23207.0
2019-11-25,23207.0
2019-11-26,23207.0
2019-11-27,23207.0
2019-11-28,23207.0
2019-11-29,23207.0
2019-12-02,22771.517578125
2019-12-03,23207.0
2019-12-04,23207.0
2019-12-05,23171.0
2019-12-06,23171.0
2019-12-09,23171.0
2019-12-10,23171.0
2019-12-11,23171.0
2019-12-12,23171.0
2019-12-13,23171.0
2019-12-16,23171.0
2019-12-17,23171.0
2019-12-18,23171.0
2019-12-19,23171.0
2019-12-20,23171.0
2019-12-23,23171.0
2019-12-24,23171.0
2019-12-25,23171.0
2019-12-26,23171.0
2019-12-27,23171.0
2019-12-30,23171.0
2019-12-31,23171.0
2020-01-01,23171.0
2020-01-02,23171.0
2020-01-03,23171.0
2020-01-06,23171.0
2020-01-07,23171.0
2020-01-08,23171.0
2020-01-09,23171.0
2020-01-10,23171.0
2020-01-13,22761.69140625
2020-01-14,23171.0
2020-01-15,23171.0
2020-01-16,23171.0
2020-01-17,23171.0
2020-01-20,23171.0
2020-01-21,23171.0
2020-01-22,23171.0
2020-01-23,23171.0
2020-01-24,23171.0
2020-01-27,23171.0
2020-01-28,23171.0
2020-01-29,23171.0
2020-01-30,23171.0
2020-01-31,23182.0
2020-02-03,23182.0
2020-02-04,23182.0
2020-02-05,23237.0
2020-02-06,23237.0
2020-02-07,23237.0
2020-02-10,23237.0
2020-02-11,23237.0
2020-02-12,23237.0
2020-02-13,23237.0
2020-02-14,23237.0
2020-02-17,23237.0
2020-02-18,23237.0
2020-02-19,23235.0
2020-02-20,23235.0
2020-02-21,23235.0
2020-02-24,23235.0
2020-02-25,23235.0
2020-02-26,23235.0
2020-02-27,23240.0
2020-02-28,23240.0
2020-03-02,23234.0
2020-03-03,23234.0
2020-03-04,23234.0
2020-03-05,23204.0
2020-03-06,23204.0
2020-03-09,23204.0
2020-03-10,23204.0
2020-03-11,23204.0
2020-03-12,23204.0
2020-03-13,23204.0
2020-03-16,23204.0
2020-03-17,23204.0
2020-03-18,23244.0
2020-03-19,23244.0
2020-03-20,23244.0
2020-03-23,23244.0
2020-03-24,23244.0
2020-03-25,23244.0
2020-03-26,23244.0
2020-03-27,23244.0
2020-03-30,23010.337890625
2020-03-31,23631.0
2020-04-01,23631.0
2020-04-02,23631.0
2020-04-03,23631.0
2020-04-06,23631.0
2020-04-07,23631.0
2020-04-08,23631.0
2020-04-09,23631.0
2020-04-10,23631.0
2020-04-13,23631.0
2020-04-14,23631.0
2020-04-15,23449.0
2020-04-16,23441.0
2020-04-17,23441.0
2020-04-20,22972.873046875
2020-04-21,23441.0
2020-04-22,23441.0
2020-04-23,23441.0
2020-04-24,23441.0
2020-04-27,23441.0
2020-04-28,23441.0
2020-04-29,23444.0
2020-04-30,23444.0
2020-05-01,23444.0
2020-05-04,23444.0
2020-05-05,23444.0
2020-05-06,23444.0
2020-05-07,23444.0
2020-05-08,23444.0
2020-05-11,23399.0
2020-05-12,23399.0
2020-05-13,23334.0
2020-05-14,23334.0
2020-05-15,23334.0
2020-05-18,23334.0
2020-05-19,23334.0
2020-05-20,23334.0
2020-05-21,23334.0
2020-05-22,23334.0
2020-05-25,23334.0
2020-05-26,23334.0
2020-05-27,23312.0
2020-05-28,23312.0
2020-05-29,23309.0
2020-06-01,23280.0
2020-06-02,23264.0
2020-06-03,23264.0
2020-06-04,23264.0
2020-06-05,23264.0
2020-06-08,23264.0
2020-06-09,23264.0
2020-06-10,23264.0
2020-06-11,23264.0
2020-06-12,23264.0
2020-06-15,23264.0
2020-06-16,23264.0
2020-06-17,23264.0
2020-06-18,23264.0
2020-06-19,23264.0
2020-06-22,23264.0
2020-06-23,23264.0
2020-06-24,23264.0
2020-06-25,23264.0
2020-06-26,23264.0
2020-06-29,23210.0
2020-06-30,23264.0
2020-07-01,23264.0
2020-07-02,23264.0
2020-07-03,23202.0
2020-07-06,23199.0
2020-07-07,23201.0
2020-07-08,23180.0
2020-07-09,23188.0
2020-07-10,23184.0
2020-07-13,22824.259765625
2020-07-14,23179.0
2020-07-15,23181.0
2020-07-16,23183.0
2020-07-17,23184.0
2020-07-20,23191.0
2020-07-21,23188.0
2020-07-22,23180.0
2020-07-23,23184.0
2020-07-24,23180.0
2020-07-27,23175.0
2020-07-28,23181.0
2020-07-29,23170.0
2020-07-30,23175.0
2020-07-31,23175.0
2020-08-03,23170.0
2020-08-04,23170.0
2020-08-05,23175.0
2020-08-06,23174.0
2020-08-07,23173.0
2020-08-10,22903.845703125
2020-08-11,23170.0
2020-08-12,23174.0
2020-08-13,23175.0
2020-08-14,23174.0
2020-08-17,23174.0
2020-08-18,23174.0
2020-08-19,23174.0
2020-08-20,23174.0
2020-08-21,23174.0
2020-08-24,23175.0
2020-08-25,23177.0
2020-08-26,23170.0
2020-08-27,23174.0
2020-08-28,23174.0
2020-08-31,23174.0
2020-09-01,23174.0
2020-09-02,23174.0
2020-09-03,23174.0
2020-09-04,23174.0
2020-09-07,23178.0
2020-09-08,23174.0
2020-09-09,23176.0
2020-09-10,23175.0
2020-09-11,23173.0
2020-09-14,23174.0
2020-09-15,23175.0
2020-09-16,23175.0
2020-09-17,23178.0
2020-09-18,23170.0
2020-09-21,23170.0
2020-09-22,23178.0
2020-09-23,23177.0
2020-09-24,23185.0
2020-09-25,23184.0
2020-09-28,23191.0
2020-09-29,23188.0
2020-09-30,23190.0
2020-10-01,23181.0
2020-10-02,23188.0
2020-10-05,23191.0
2020-10-06,23203.0
2020-10-07,23205.0
2020-10-08,23205.0
2020-10-09,23191.0
2020-10-12,23180.0
2020-10-13,23178.0
2020-10-14,23177.0
2020-10-15,23175.0
2020-10-16,23170.0
2020-10-19,23175.0
2020-10-20,23175.0
2020-10-21,23179.0
2020-10-22,23177.0
2020-10-23,23176.0
2020-10-26,23176.0
2020-10-27,23175.0
2020-10-28,23175.0
2020-10-29,23176.0
2020-10-30,23170.0
2020-11-02,23180.0
2020-11-03,23177.0
2020-11-04,23176.0
2020-11-05,23176.0
2020-11-06,23175.0
2020-11-09,23176.0
2020-11-10,23170.0
2020-11-11,23173.0
2020-11-12,23175.0
2020-11-13,23175.0
2020-11-16,23175.0
2020-11-17,23175.0
2020-11-18,23163.0
2020-11-19,23160.0
2020-11-20,23176.0
2020-11-23,23176.0
2020-11-24,23177.0
2020-11-25,23151.0
2020-11-26,23160.0
2020-11-27,23164.0
2020-11-30,23160.0
2020-12-01,23140.0
2020-12-02,23129.0
2020-12-03,23129.0
2020-12-04,23125.0
2020-12-07,23130.0
2020-12-08,23127.0
2020-12-09,23128.0
2020-12-10,23128.0
2020-12-11,23128.0
2020-12-14,23128.0
2020-12-15,23126.0
2020-12-16,23126.0
2020-12-17,23126.0
2020-12-18,23120.0
2020-12-21,23124.0
2020-12-22,23120.0
2020-12-23,23127.0
2020-12-24,23130.0
2020-12-25,23125.0
2020-12-28,23130.0
2020-12-29,23125.0
2020-12-30,23120.0
2020-12-31,23088.0
2021-01-01,23070.0
2021-01-04,23070.0
2021-01-05,23070.0
2021-01-06,23080.0
2021-01-07,23090.0
2021-01-08,23078.0
2021-01-11,22788.548828125
2021-01-12,23050.0
2021-01-13,23065.0
2021-01-14,23064.0
2021-01-15,23064.0
2021-01-18,22818.826171875
2021-01-19,23069.0
2021-01-20,23069.0
2021-01-21,23072.0
2021-01-22,23060.0
2021-01-25,23070.0
2021-01-26,23060.0
2021-01-27,23069.0
2021-01-28,23069.0
2021-01-29,23059.0
2021-02-01,22699.072265625
2021-02-02,23045.0
2021-02-03,23027.0
2021-02-04,23020.0
2021-02-05,23015.0
2021-02-08,23000.0
2021-02-09,22970.0
2021-02-10,23010.0
2021-02-11,23010.0
2021-02-12,23010.0
2021-02-15,23010.0
2021-02-16,23010.0
2021-02-17,23010.0
2021-02-18,23010.0
2021-02-19,23015.0
2021-02-22,22727.703125
2021-02-23,23020.0
2021-02-24,23025.0
2021-02-25,23020.0
2021-02-26,23025.0
2021-03-01,23015.0
2021-03-02,23020.0
2021-03-03,23022.0
2021-03-04,23020.0
2021-03-05,23019.0
2021-03-08,23033.0
2021-03-09,22707.5
2021-03-10,22726.470703125
2021-03-11,23052.0
2021-03-12,23051.0
2021-03-15,22651.580078125
2021-03-16,23081.0
2021-03-17,23082.0
2021-03-18,23045.0
2021-03-19,23065.0
2021-03-22,22761.62890625
2021-03-23,23076.0
2021-03-24,23070.0
2021-03-25,23080.0
2021-03-26,23084.0
2021-03-29,23084.0
2021-03-30,23070.0
2021-03-31,23070.0
2021-04-01,23074.0
2021-04-02,23065.0
2021-04-05,23073.0
2021-04-06,23079.0
2021-04-07,23090.0
2021-04-08,23090.0
2021-04-09,23085.0
2021-04-12,22697.6328125
2021-04-13,23067.0
2021-04-14,23069.0
2021-04-15,23078.0
2021-04-16,23073.0
2021-04-19,22747.548828125
2021-04-20,23073.0
2021-04-21,23074.0
2021-04-22,23074.0
2021-04-23,23070.0
2021-04-26,22664.841796875
2021-04-27,23040.0
2021-04-28,23042.0
2021-04-29,23047.0
2021-04-30,23054.0
2021-05-03,22837.033203125
2021-05-04,23054.0
2021-05-05,23050.0
2021-05-06,23060.0
2021-05-07,23067.0
2021-05-10,22562.2265625
2021-05-11,23060.0
2021-05-12,23055.0
2021-05-13,23053.0
2021-05-14,23040.0
2021-05-17,23048.0
2021-05-18,23046.0
2021-05-19,23040.0
2021-05-20,23045.0
2021-05-21,23045.0
2021-05-24,23054.0
2021-05-25,23056.0
2021-05-26,23060.0
2021-05-27,23055.0
2021-05-28,23045.0
2021-05-31,23045.0
2021-06-01,23040.0
2021-06-02,23044.0
2021-06-03,23040.0
2021-06-04,23041.0
2021-06-07,23044.0
2021-06-08,23000.0
2021-06-09,22952.0
2021-06-10,22955.0
2021-06-11,22947.0
2021-06-14,22945.0
2021-06-15,22944.0
2021-06-16,22947.0
2021-06-17,22946.0
2021-06-18,22960.0
2021-06-21,22995.0
2021-06-22,23014.0
2021-06-23,23025.0
2021-06-24,23020.0
2021-06-25,23003.0
2021-06-28,22700.0546875
2021-06-29,23020.0
2021-06-30,23020.0
2021-07-01,23014.0
2021-07-02,23010.0
2021-07-05,22590.8125
2021-07-06,22996.0
2021-07-07,23007.0
2021-07-08,23015.0
2021-07-09,23007.0
2021-07-12,22626.92578125
2021-07-13,23020.0
2021-07-14,23010.0
2021-07-15,23011.0
2021-07-16,23009.0
